Protein_ID,median_Tm
A0A023PXQ4_YMR173W-A,52.4030340964799
A0A023T4K3_,37.9629473421417
A0A023T778_Magohb,54.932538679234
A0A061ACF5_fbl-1,49.4592155176475
A0A061ACH4_CELE_Y62E10A.13,42.5931308043435
A0A061ACH8_B0001.3,37.9994780790578
A0A061ACH9_C47E12.3,42.5175268044759
A0A061ACI3_fbl-1,43.8922110363647
A0A061ACL3_cars-1,41.9732450498217
A0A061ACL6_CELE_M18.6,49.0447748613113
A0A061ACM7_CELE_ZK792.1,45.6447044990157
A0A061ACQ8_CELE_Y92H12A.2,38.5572610934804
A0A061ACR1_CELE_T14G10.5,47.3698568021073
A0A061ACX4_cas-2,42.6682481509474
A0A061AD29_C42C1.4,37.2951801873865
A0A061AJJ3_CELE_F32B5.6,39.4037261652373
A0A067XG53_Cask,51.42440868219735
A0A068BIS6_B3galt4,53.0589794168965
A0A068BIT0_Slc39a7,53.06460347137905
A0A077LSK8_CELE_Y51H4A.24,50.7222112253083
A0A077S2U6_Lyz2,60.9454519614626
A0A077S9N1_Lyz1,57.59084779356765
A0A078BPG0_CELE_F09E10.7,41.1098418725276
A0A087WNV1_Agfg1,51.93614808826915
A0A087WP63_Gm42715,48.74422156832785
A0A087WPH5_Glb1l,51.84012157773335
A0A087WPL5_Dhx9,52.5063734363803
A0A087WPP8_Abi2,50.83195638137275
A0A087WPR9_Fam134a,51.18658114151905
A0A087WPX0_Ktn1,51.1098679729406
A0A087WQ86_Dock10,49.9217510037019
A0A087WQC2_Tmem237,62.1389348583393
A0A087WQE6_Tceb1,49.6827192074865
A0A087WQS2_Bzw1,46.64968527765495
A0A087WQT0_Stk16,44.2295642361028
A0A087WR24_Edem3,53.7593561455331
A0A087WR70_Sgk3,46.5624442065846
A0A087WR75_Atf7ip,51.2709329033584
A0A087WRE5_Nudt16,53.402889223431444
A0A087WRE7_Adhfe1,54.5625793875719
A0A087WRJ2_Abhd14b,51.05829169878115
A0A087WRM0_Cdv3,47.4576895300732
A0A087WRM2_Itm2c,53.94133907076635
A0A087WRV0_Gm973,52.5244989819715
A0A087WRW6_Mdfic,52.13807217486965
A0A087WS03_Pign,51.1349225594149
A0A087WST1_Il19,47.6744217095885
A0A0A0MPG3_crygn2,47.22738225276
A0A0A0MQ68_Gcdh,50.1514316636714
A0A0A0MQ73_Kmt2d,51.0495387343918
A0A0A0MQ79_Prrc2c,53.5148097477681
A0A0A0MQ89_Actr5,48.3475234675623
A0A0A0MQ90_S100a13,65.8182247596879
A0A0A0MQ98_Jmjd1c,49.7147715294812
A0A0A0MQ99_Swi5,49.87954445624885
A0A0A0MQA5_Tuba4a,48.000395534541056
A0A0A0MQD1_Tdrd7,44.323938927102
A0A0A0MQD4_9530068E07Rik,48.4298973929686
A0A0A0MQE5_Camsap1,47.418737268914896
A0A0A0MQF5_Otud6b,44.469857424560544
A0A0A0MQM0_Eif5a,49.43100937272765
A0A0A0MQM6_Pou2f1,49.45128585622305
A0A0A0MQN4_Atg7,45.94626675272045
A0A0A6YVR9_Surf1,51.54756335142835
A0A0A6YVS2_Tmco1,51.8503009153079
A0A0A6YVU8_Gm9774,45.28764602073335
A0A0A6YW28_Usp4,43.38511284357445
A0A0A6YW87_Cnih4,52.1763237815922
A0A0A6YWA7_Chst10,48.96047357419715
A0A0A6YWB0_Mbnl1,49.313858376479104
A0A0A6YWG7_Rapgef2,48.8484164217842
A0A0A6YWP2_Smyd3,42.1985268328721
A0A0A6YWT5_Traip,45.7870278335916
A0A0A6YWY3_Tnr,53.97629572719875
A0A0A6YX18_Atp6v1h,53.0069391361326
A0A0A6YX21_Sft2d2,50.555560130257604
A0A0A6YX25_Lman2l,43.277683014447405
A0A0A6YX40_Igsf3,52.1840333008394
A0A0A6YX73_Prkar2a,46.13937410009745
A0A0A6YXG1_Mast4,50.8440392856665
A0A0A6YXL6_Lrba,47.00549974766765
A0A0A6YXM5_Rcor3,49.9594779250467
A0A0A6YY22_Cyb561d2,49.2131251741092
A0A0A6YY64_Pfkfb3,49.4973518812169
A0A0A6YY67_Camsap2,50.714857887837
A0A0B4J1E6_Fcgr2b,55.2300391187011
A0A0B4J1G0_Fcgr4,52.4882979529185
A0A0B4J1K8_Dcun1d1,47.948861481815754
A0A0D2X7Z2_Eef1akmt1,48.562312989166045
A0A0F6AIX5_Ldah,44.3755933674821
A0A0G2JDF7_Usp30,40.6807363889342
A0A0G2JDH8_Slc35a3,47.119263112332
A0A0G2JDI9_Abcd3,56.4945019504616
A0A0G2JDQ1_Mef2c,50.7056454004447
A0A0G2JDS8_Ung,47.9094176881511
A0A0G2JDW7_Rps27,47.44943866254205
A0A0G2JE03_Anapc5,51.48567478561145
A0A0G2JE93_Stard3nl,52.34970764820565
A0A0G2JE97_Ttc14,50.69260488919165
A0A0G2JEB8_Slc7a7,57.5532683618924
A0A0G2JEG2_2810403A07Rik,49.6939398315734
A0A0G2JEG3_Slc35f6,46.79586752791095
A0A0G2JEH5_Alg14,52.206755818908604
A0A0G2JEK2_Crip1,54.213902919916
A0A0G2JET2_Camkk2,49.2468134452642
A0A0G2JF30_Klhl7,46.3324021536361
A0A0G2JF44_Ift22,48.12254940649575
A0A0G2JFB2_Tdrkh,47.356641672821794
A0A0G2JFC9_Sass6,49.3506383780755
A0A0G2JFF1_Ppp1cc,50.4239860213318
A0A0G2JFF9_Hax1,50.314834229487005
A0A0G2JFH9_Ap5z1,52.59353601008365
